Age,Gender,Family_Income,Internet_Access,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Travel_Time_Minutes,Part_Time_Job,Scholarship,Stress_Index,GPA,Semester_GPA,CGPA,Semester,Department,Parental_Education,Dropout
21.7,Male,25000.0,Yes,7.574390922568767,75.0,0,43.6,Yes,No,7.138648242736158,4.0,3.89,3.89,Year 1,Science,High School,0
19.3,Male,46863.0,Yes,5.369163495673524,84.4,3,34.0,No,Yes,7.132720548851733,1.4,1.2,1.2,Year 1,Arts,Bachelor,1
17.0,Female,25000.0,Yes,4.721762707142032,66.0,1,44.8,No,Yes,7.254902642208592,1.07,1.46,1.46,Year 1,Engineering,Bachelor,1
19.2,Male,85485.0,Yes,5.758677129639828,91.6,1,33.4,No,No,2.0191053074950784,4.0,4.0,4.0,Year 1,CS,Master,0
23.2,Female,25000.0,Yes,3.461594298649597,91.2,1,40.3,Yes,No,4.559902095930443,1.41,1.73,1.79,Year 4,Science,Bachelor,0
24.6,Female,25000.0,Yes,5.251933575278112,86.0,1,23.3,No,Yes,7.736337227370393,2.95,2.65,2.63,Year 4,Business,PhD,1
19.0,Male,35504.0,Yes,4.561814714548145,77.1,1,31.7,No,No,3.7238856034324144,2.47,3.02,3.03,Year 3,Arts,Master,0
22.2,Female,29365.0,Yes,7.655822348337835,72.5,0,31.0,Yes,No,7.153344208256784,2.82,2.82,2.84,Year 3,Science,High School,0
21.9,Male,25000.0,Yes,4.746386536125345,77.1,2,35.3,Yes,No,1.9764977752964397,1.76,1.65,1.73,Year 2,Arts,Bachelor,0
18.1,Male,25000.0,No,4.60325163072261,81.3,0,31.5,Yes,Yes,6.874533256339193,3.28,3.28,3.32,Year 4,CS,Bachelor,0
22.1,Male,43661.0,Yes,3.1280396241798405,88.9,2,27.7,No,No,6.456681938637892,3.74,3.83,3.77,Year 4,Engineering,Bachelor,1
17.0,Male,48005.0,Yes,7.750902340022752,78.2,3,36.6,Yes,No,5.806655875804278,1.83,1.41,1.42,Year 4,Business,High School,0
23.2,Female,58656.0,Yes,4.916141562214823,83.9,1,56.3,No,No,6.605671525202331,2.37,1.79,1.79,Year 1,CS,Bachelor,0
20.8,Male,29866.0,Yes,6.257668558004877,77.2,3,37.8,No,No,2.5938467822274025,4.0,4.0,4.0,Year 1,Business,High School,0
